timestamp,Gender,Age,Role_raw,Education,Experience,Institution,CT1,CT2,CT3,CT4,CT5,"Theo Anh/Chị, điểm mạnh lớn nhất của chương trình đào tạo hiện nay là gì?",Hạn chế quan trọng nhất cần điều chỉnh là gì?,GV1,GV2,GV3,GV4,GV5,Năng lực nào của giảng viên cần được bồi dưỡng ưu tiên trong giai đoạn tới?,CS1,CS2,CS3,CS4,QL1,QL2,QL3,QL4,PH1,PH2,PH3,PH4,GP1,GP2,GP3,GP4,GP5,"Theo Anh/Chị, giải pháp then chốt nhất để nâng cao chất lượng đào tạo nhân lực ngành kinh tế là gì?",Những rào cản lớn nhất khi triển khai các giải pháp trên hiện nay?,Role,missing_rate,straight_liner,timestamp_parsed,qc_item_out_of_range,qc_all_same,qc_low_var,qc_straight_liner,age_band,exp_band,qc_logic_inconsistent,response_hash,dup_rank,qc_duplicate,qc_exclude_final
2026-01-10 22:01:30.777,Nam,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,UEH,5,4,4,3,5,Theo kịp thị trường lao động,Nghiệp vụ thực chiến,4,5,4,5,4,"Kiến thức nghiêp vụ của môn học, chương trình đang dạy",5,4,5,4,5,4,5,4,4,5,4,5,4,3,5,4,5,nghiên cứu,động lực,Sinh viên,0.0,False,2026-01-10 22:01:30.777,False,False,False,False,1,1.0,False,0a050cc30a4c045c6d181b3151e57b61,1,False,False
2026-01-14 14:05:37.589,Nữ,35–44,"Chuyên gia, Nhà quản lý giáo dục, Giảng viên",Tiến sĩ,11–20 năm,Trường ĐH Ngoại thương,4,4,4,4,4,"Chương trình cập nhật, có tính cạnh tranh",Cần có một khung vĩ mô làm kim chỉ nam trong xd CT đào tạo,4,3,3,3,3,Năng lực số,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Cần nâng cao năng lực tự học, tự nghiên cứu",Cơ chế phối hợp Nhà trường- doanh nghiệp- xã hội trong đào tạo nhân lực ngành kinh tế số,Nhà quản lý giáo dục,0.0,False,2026-01-14 14:05:37.589,False,False,False,False,3,3.0,False,56e0e4c0058518b58475893d8ddac577,1,False,False
2026-01-18 15:29:19.749,Nữ,35–44,Giảng viên,Tiến sĩ,11–20 năm,FTU,4,4,3,4,5,nan,nan,5,4,4,4,3,nan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,Giảng viên,0.0,False,2026-01-18 15:29:19.749,False,False,False,False,3,3.0,False,55e9de85ec539ba161bb085576a54dcb,1,False,False
2026-01-18 15:49:25.548,Nam,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,ĐH Ngoại Thương,4,5,5,4,5,nan,nan,5,4,5,4,5,nan,3,4,4,4,5,4,5,5,4,4,5,4,5,5,5,5,4,nan,nan,Sinh viên,0.0,False,2026-01-18 15:49:25.548,False,False,False,False,1,1.0,False,6eb33102e998da3ed9f7ed2e91dd9518,1,False,False
2026-01-18 16:16:46.905,Nam,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Đại học Ngoại Thương,4,5,5,4,5,Có đủ các kiến thức cần có trong công việc hiện nay và tương lai gần,nan,5,4,5,5,4,nan,5,4,5,5,5,4,5,4,4,4,2,4,3,3,2,4,3,Cập nhật chương trình mới nhất,Thiếu vốn để thực hiện tất cả,Sinh viên,0.0,False,2026-01-18 16:16:46.905,False,False,False,False,1,1.0,False,fbe47d30d39160bff338b1e72f1ec731,1,False,False
2026-01-18 16:21:24.745,Nữ,35–44,Giảng viên,Tiến sĩ,11–20 năm,Trường Đại học Ngoại thương,5,5,4,4,3,nan,nan,4,4,4,4,4,"Học máy, coding",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nan,nan,Giảng viên,0.0,False,2026-01-18 16:21:24.745,False,False,False,False,3,3.0,False,183fe6144c151ac127d8f68af419c513,1,False,False
2026-01-18 16:25:01.590,Nữ,45–54,Giảng viên,Tiến sĩ,Trên 20 năm,ĐH Ngoại thương,3,4,2,4,4,gắn phát triển kỹ năng và thực hành nghề nghiệp nhiều hơn,"Tăng yêu cầu, Tăng khối lượng của từng môn học sinh viên cần đạt được, đảm bảo CĐR",4,4,4,3,3,nan,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,nan,nan,Giảng viên,0.0,False,2026-01-18 16:25:01.590,False,False,False,False,4,4.0,False,08be2472830bbeb1d024695d33be0eb6,1,False,False
2026-01-18 16:31:12.725,Nữ,45–54,Giảng viên,Tiến sĩ,11–20 năm,Khoa Khoa học chính trị và nhân văn,4,4,4,4,4,Phù hợp với nhu cầu thị trường người lao động trong nước và quốc tế,Gắn với thực tiễn nhiều hơn nữa,5,5,5,5,5,Cập nhật công nghệ số,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,Bồi dưỡng giảng viên năng lực số,Cơ sở vật chất,Giảng viên,0.0,False,2026-01-18 16:31:12.725,False,False,False,False,4,3.0,False,20a45830563a81bf86ae8bd0a548fbb8,1,False,False
2026-01-18 16:35:08.491,Khác,Dưới 25,Sinh viên,Đại học,Dưới 5 năm,Trường Đại học Ngoại Thương,4,4,2,2,3,Đào tạo kiến thức đa ngành giúp sinh viên có cái nhìn khách quan đa chiều,"1. Chưa tập trung vào chuyên sâu giúp cho sinh viên có thể thực hành luôn sau khi ra trường —> minh chứng là nhiều công ty phải đào tạo lại sinh viên từ đầu
2. Lý thuyết còn nhiều hơn thực hành, svien không có cơ hội ứng dụng",4,4,4,5,3,nan,3,4,4,4,4,5,4,4,4,4,4,4,4,5,4,3,4,nan,nan,Sinh viên,0.0,False,2026-01-18 16:35:08.491,False,False,False,False,1,1.0,False,f02c400f1a8888cb10013d6ef69a7744,1,False,False
2026-01-18 16:48:07.896,Nữ,45–54,Giảng viên,Tiến sĩ,Trên 20 năm,Trường Đại học Tài chính - Quản trị kinh doanh,4,4,3,3,4,Đảm bảo cơ bản cho sinh viên ra trường làm được việc,Bắt kịp xu hướng kinh tế số còn hạn ché,4,3,4,4,3,Kỹ năng khai thác học liệu số quốc tế,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,Bồi dưỡng năng lực số cho giảng viên,Trình độ ngoại ngữ hạn chế khi nghiên cứu tài liệu bên ngoài,Giảng viên,0.0,False,2026-01-18 16:48:07.896,False,False,False,False,4,4.0,False,860bcc11b524e9a409f82bc5f913b604,1,False,False
